	090317_0121166	090318_0121167	090319_0121168	090320_0121169	090321_0121170	090322_0121171	090323_0121172	090324_0121173	090325_0121174	090326_0121175	090327_0121176	090328_0121177	090329_0121178	090330_0121179	090331_0121180	090332_0121181	090333_0121182	090334_0121183	090335_0121184	090336_0121185	090337_0121186	090338_0121187	090339_0121188	090340_0121189	090341_0121190	090342_0121191	090343_0121192	090344_0121193	090345_0121194	090346_0121195	090347_0121196	090348_0121197	090349_0121198	090350_0121199	090351_0121200	090352_0121201	090353_0121202	090354_0121203	090355_0121204	090356_0121205	090357_0121206	090358_0121207	090359_0121208	090360_0121209	090361_0121210	090362_0121211	090363_0121212	090364_0121213	090365_0121214	090366_0121215
OR10H5	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0
OR10J5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR11H4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR13F1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR56A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR56A4	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
OR56A5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR5T1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR5T2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR5T3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR6T1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OXT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OXTR	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.6	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
PALM	5.1	5.6	5.7	5.6	5.6	5.3	4.6	5.9	5.7	5.7	5.3	5.5	6.1	5.6	5.8	5.6	5.6	5.7	5.5	5.9	5.6	5.5	4.1	5.7	5.2	5.6	5.2	5.4	5.5	5.4	5.6	5.6	5.0	5.2	5.5	5.7	5.2	5.4	5.2	5.3	4.9	5.4	5.4	4.8	5.5	5.8	5.2	5.3	4.9	4.8
PEA15	8.1	8.5	8.3	8.6	8.5	8.7	8.4	8.6	7.1	8.9	8.8	8.6	8.6	8.7	8.8	8.4	8.2	8.2	8.5	8.6	8.5	8.5	7.5	8.3	8.3	8.4	8.4	8.4	8.6	8.6	8.5	8.4	8.5	8.4	8.2	8.4	8.6	8.6	8.3	8.6	8.1	8.4	8.3	8.7	8.4	8.6	8.5	8.3	8.5	8.7
PENK	0.0	0.0	1.6	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.6	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	1.0	0.0	0.0	0.0	1.0	0.0	1.6	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
PITX3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLCB1	2.3	2.8	3.0	2.8	2.8	2.6	3.0	3.2	2.0	2.6	2.3	2.8	3.0	2.3	2.6	2.3	2.6	3.0	2.8	3.2	3.0	3.0	3.3	2.8	2.8	3.0	3.0	2.8	3.0	3.2	2.8	3.2	3.0	2.6	3.2	2.8	2.6	2.8	3.0	2.8	2.0	3.2	3.2	2.3	3.0	2.6	2.8	2.6	2.8	2.8
PPP1R1B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PPP1R9B	6.5	7.3	7.2	7.8	7.3	7.4	5.9	7.8	5.9	7.0	6.9	7.5	7.4	7.3	7.4	6.9	7.3	7.5	7.6	7.8	7.7	7.5	5.6	7.7	7.3	7.3	6.7	7.3	7.0	7.6	7.7	7.5	7.2	7.4	7.4	7.2	7.5	7.2	7.6	7.4	6.4	7.4	7.1	7.5	7.0	7.4	7.8	7.6	7.1	7.7
PPP2R2A	6.8	6.9	6.8	6.7	6.9	6.9	7.1	6.6	6.2	6.8	6.7	6.6	6.8	6.8	6.7	6.7	6.6	6.5	6.9	6.6	6.8	6.8	7.3	6.8	6.7	6.9	6.9	6.8	6.9	6.8	6.7	6.9	6.8	6.8	6.9	6.9	6.8	7.1	6.8	6.7	6.5	6.9	7.0	6.8	6.8	7.0	6.6	6.6	7.0	6.8
PPP5C	5.8	6.5	6.3	6.6	6.4	6.3	5.9	6.4	6.0	6.7	6.7	6.7	6.7	6.7	6.8	6.7	6.5	6.3	6.5	6.7	6.7	6.5	5.3	6.2	6.2	6.4	6.3	6.6	6.6	6.7	6.6	6.3	6.1	6.4	6.3	6.4	6.5	6.4	6.6	6.2	5.7	6.3	6.3	6.0	6.4	6.7	6.2	6.1	6.2	6.5
PRKCE	3.9	3.8	4.0	4.1	4.1	4.5	4.5	3.8	4.0	4.2	4.0	4.3	3.8	4.3	3.7	4.3	4.0	3.6	3.8	4.1	3.8	3.8	5.0	4.1	3.6	3.8	4.0	3.6	3.5	4.0	3.9	3.9	4.6	4.2	4.1	4.2	4.2	4.5	4.0	4.0	3.8	3.7	3.8	4.9	4.2	3.8	4.2	4.3	4.2	4.3
PRKCG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.6	1.0
PRKN	1.6	2.0	2.0	1.0	1.6	1.0	2.0	2.0	0.0	1.6	1.6	1.0	1.6	1.6	1.0	1.0	1.6	1.6	1.6	1.6	1.6	1.6	2.3	2.0	1.0	1.0	2.3	1.0	2.0	2.0	1.6	2.0	1.6	1.6	1.0	2.0	2.0	2.3	1.0	2.0	1.0	1.6	1.6	1.6	1.6	2.0	1.6	2.0	1.6	1.6
PRMT5	5.8	5.9	5.7	6.1	5.8	6.2	5.8	5.9	5.8	6.2	6.1	5.9	6.1	6.0	6.1	5.6	5.7	5.7	5.6	5.9	6.0	5.9	5.0	5.8	5.7	5.8	5.9	6.0	6.0	6.0	6.0	5.9	5.6	5.9	5.8	5.9	6.1	6.0	5.8	6.2	6.0	5.9	5.6	6.0	6.0	5.9	6.3	6.3	5.8	6.4
PTAFR	1.6	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.6	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.6	1.0	0.0	1.0	1.6	0.0	0.0	1.0	1.0	1.0	1.0	1.6	1.0	0.0	1.6	1.0	0.0	1.6	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
PTGER1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PTK2B	1.0	1.6	1.0	1.6	1.6	1.6	1.6	1.0	2.0	1.0	1.0	1.0	2.3	1.0	1.0	1.6	1.6	1.6	1.6	1.6	2.0	1.6	1.6	1.0	1.0	1.0	1.0	1.6	1.6	2.0	1.6	1.6	1.0	1.6	2.0	1.6	1.0	1.0	1.6	1.6	1.0	1.6	1.6	1.0	1.0	1.0	1.0	1.0	1.0	1.6
RELA	5.0	5.3	5.1	5.8	5.5	5.5	5.6	5.4	4.5	5.9	5.6	5.7	5.4	6.0	5.5	5.3	5.5	5.4	5.2	5.6	5.3	5.3	6.3	5.2	5.1	5.2	5.4	5.5	5.7	5.5	5.6	5.3	5.1	5.6	5.4	5.5	5.6	5.6	5.1	5.4	4.9	5.3	5.0	5.7	5.5	5.6	5.4	5.2	5.3	5.6
RGS10	6.2	5.6	6.0	5.2	5.9	5.5	5.7	4.9	6.8	6.0	5.7	6.0	5.8	5.7	5.2	5.7	5.7	5.3	5.5	4.8	5.2	5.8	4.6	5.3	5.6	5.6	5.6	5.5	6.0	5.6	5.2	5.3	6.5	6.1	5.8	5.6	5.6	5.2	5.7	5.0	6.8	5.8	6.1	5.7	5.6	6.1	5.4	5.9	6.2	5.4
RGS4	4.5	3.9	4.0	4.2	4.1	5.2	4.0	3.6	2.3	5.6	4.5	3.9	4.5	5.6	5.4	4.7	4.4	4.5	4.2	4.4	3.9	4.2	4.5	4.8	5.1	4.5	4.5	4.1	3.3	3.7	4.0	4.5	5.2	5.5	4.5	3.8	4.8	5.2	4.5	4.1	4.2	3.7	3.9	5.7	4.6	4.5	5.0	5.0	5.4	5.2
RGS8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RGS9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ROCK2	6.5	6.8	6.9	6.9	6.8	6.8	7.0	6.7	5.6	6.1	6.2	6.3	6.6	6.7	6.8	6.4	6.7	6.5	6.9	6.9	6.8	7.0	7.7	7.1	6.7	6.9	6.8	6.8	6.9	6.7	6.8	6.9	7.1	7.1	6.8	6.8	6.9	7.1	6.9	6.7	5.9	6.7	6.9	7.1	6.9	6.9	6.6	6.5	6.8	6.9
SDK1	1.0	1.0	1.6	1.0	1.6	1.0	1.6	1.6	1.0	1.0	1.6	1.0	1.0	1.0	1.0	1.0	1.6	1.6	1.0	1.6	1.0	1.6	1.6	1.6	1.6	1.0	1.6	1.6	1.0	1.0	1.6	1.6	1.0	1.6	1.6	1.6	1.0	1.0	1.0	1.0	1.0	1.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SIN3A	4.7	5.4	5.2	5.2	5.2	5.0	5.1	5.2	3.8	4.8	4.9	5.0	5.2	4.9	4.9	4.8	5.1	5.3	5.4	5.3	5.4	5.3	5.3	5.0	5.0	5.2	5.2	5.3	5.3	5.2	5.2	5.2	4.7	5.1	5.4	5.5	4.9	5.0	5.1	5.0	4.5	5.3	5.2	5.0	5.1	5.0	5.0	4.7	4.6	5.0
SLC34A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC6A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC6A3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC9A3R1	4.4	4.8	4.6	4.9	4.8	4.9	4.9	5.4	4.5	5.2	5.3	4.8	4.6	4.2	4.3	4.8	4.5	4.2	4.7	4.6	4.9	4.9	4.7	4.6	3.6	4.3	4.6	4.7	4.5	4.8	4.6	4.7	4.5	4.5	4.5	4.6	5.0	4.6	4.9	4.6	4.8	4.5	4.8	4.7	4.9	4.9	5.0	4.5	4.8	4.9
SLURP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SMPD1	3.7	3.5	3.6	4.2	3.9	3.7	4.0	4.1	3.9	4.4	4.4	4.6	3.7	4.2	4.5	4.0	3.5	3.3	3.9	4.0	3.3	3.9	3.8	3.5	3.3	3.8	3.5	4.2	4.2	4.3	3.7	3.8	3.6	3.9	3.0	3.9	3.9	4.0	3.2	3.8	3.5	3.6	3.7	3.0	4.1	4.2	3.9	3.8	3.5	3.3
SNCA	6.5	6.9	7.0	7.1	7.0	7.0	6.1	7.3	6.3	6.3	6.8	6.8	7.0	6.7	6.9	6.6	6.9	7.0	7.0	7.1	7.1	7.0	5.6	7.0	6.9	7.0	6.5	6.8	6.8	7.1	7.1	7.1	6.9	7.0	7.1	6.9	6.9	6.7	7.0	7.1	6.5	7.0	7.0	6.8	6.8	7.1	7.3	7.0	6.7	6.9
SRR	4.1	3.0	3.5	3.2	3.5	2.8	3.6	3.5	2.3	2.8	3.5	2.8	3.9	3.7	3.3	4.1	3.9	3.8	3.3	3.8	3.3	3.3	2.6	3.2	3.5	3.8	3.5	3.0	3.2	3.6	3.0	2.8	3.2	2.6	3.2	3.7	2.8	3.2	3.3	3.2	3.2	3.3	3.6	2.6	3.2	3.5	3.2	3.2	2.0	3.2
SULT1A3	3.2	3.8	3.7	4.3	3.7	4.5	3.6	3.2	3.0	4.8	4.0	3.8	4.4	3.6	3.8	4.2	3.7	4.2	3.9	4.5	3.8	3.9	4.8	3.6	3.8	3.8	3.6	4.1	4.2	3.7	3.9	3.5	3.0	4.0	3.9	4.2	3.7	3.8	3.7	3.6	3.3	3.6	3.7	3.3	3.6	3.7	4.2	3.9	3.5	4.2
SULT1A4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TAC1	2.0	2.0	2.0	1.0	1.0	2.3	2.8	2.0	3.6	1.0	2.0	2.3	0.0	1.6	1.0	2.3	0.0	2.0	1.6	1.6	2.3	1.0	1.0	1.6	1.0	1.6	1.0	1.6	1.0	2.0	0.0	1.0	1.6	2.0	1.0	1.6	1.0	1.6	0.0	2.0	0.0	2.3	2.3	2.0	2.0	1.6	1.0	1.0	1.6	1.0
TACR3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TIAM1	5.3	5.2	5.5	5.0	5.1	5.0	5.6	4.9	6.0	5.1	5.2	5.2	5.4	5.0	4.8	4.9	5.2	5.2	5.4	5.2	5.4	5.3	6.4	5.2	5.3	5.4	5.5	5.2	5.3	5.2	5.2	5.4	5.2	5.4	5.2	5.2	5.4	5.0	5.3	4.9	5.4	5.3	5.3	5.0	5.4	5.6	5.0	5.3	5.2	5.0
UBE3A	6.9	6.7	7.0	6.7	6.8	6.9	7.2	6.6	6.8	6.7	6.9	6.8	6.9	6.9	6.9	6.8	6.9	6.8	6.8	6.9	6.8	6.8	7.4	7.0	7.0	7.0	7.0	6.9	6.8	6.9	6.8	6.8	6.9	7.0	7.0	6.8	6.9	6.9	6.9	6.9	6.7	7.0	7.0	7.0	7.0	6.9	6.9	7.2	7.1	6.9
VPS35	6.0	6.1	6.1	6.1	6.1	6.2	6.2	5.9	5.5	6.3	6.2	6.2	6.2	6.0	6.2	6.1	5.8	5.8	6.0	6.0	6.0	6.0	6.0	6.1	6.0	6.0	6.0	6.1	6.1	6.1	5.9	6.1	5.9	6.1	6.0	6.2	6.1	6.3	5.9	6.2	5.5	6.0	6.1	6.0	6.1	6.2	5.8	6.1	6.0	6.0
