symbol	Biffle	CAR_MplusCHLA_3	H9_MplusCHLA_1	H9_MplusCHLA_2	H9_MplusCHLA_3	CAR_MplusCHLA_1	CAR_MplusCHLA_2
LINC01623	0	0	0	0	0	0	0
LINC01624	0	0	0	0	0	0	0
LINC01625	0	0	0	0	0	0	32
LINC01626	0	0	0	0	0	0	0
LINC01628	0	0	0	0	0	0	0
LINC01629	0	0	0	0	0	0	0
LINC01630	210	0	210	0	0	0	0
LINC01633	0	0	0	0	0	0	0
LINC01634	1	0	1	17	2	0	0
LINC01635	3	0	3	0	0	0	0
LINC01637	0	0	0	0	0	171	0
LINC01638	198	73	198	70	0	0	11
LINC01639	0	0	0	0	0	0	0
LINC01640	0	0	0	0	0	0	0
LINC01644	0	0	0	0	0	0	0
LINC01645	0	134	0	113	118	0	7
LINC01646	0	0	0	0	0	0	0
LINC01647	26	2	26	0	77	0	9
LINC01648	0	0	0	0	0	0	0
LINC01649	0	0	0	0	0	0	0
LINC01650	0	0	0	0	0	0	0
LINC01653	0	37	0	2	0	0	12
LINC01654	0	0	0	1	0	0	0
LINC01655	0	0	0	0	0	0	0
LINC01656	0	0	0	0	0	0	0
LINC01657	0	0	0	0	0	0	0
LINC01658	0	0	0	0	0	0	0
LINC01659	0	0	0	0	0	0	55
LINC01660	0	0	0	0	0	0	0
LINC01661	0	0	0	0	0	0	0
LINC01662	0	0	0	0	0	0	0
LINC01663	0	0	0	0	0	0	0
LINC01664	0	0	0	0	0	0	0
LINC01665	0	0	0	0	0	0	0
LINC01667	0	0	0	0	0	0	24
LINC01668	0	0	0	0	0	0	0
LINC01669	0	0	0	0	0	0	0
LINC01671	0	0	0	0	0	0	0
LINC01672	0	0	0	0	0	0	0
LINC01674	0	0	0	0	0	0	0
LINC01675	0	0	0	0	0	0	0
LINC01676	2	0	2	1	0	0	0
LINC01677	0	0	0	0	0	0	0
LINC01678	0	0	0	0	0	0	0
LINC01679	0	0	0	0	0	0	0
LINC01680	0	0	0	0	0	0	0
LINC01681	0	0	0	0	0	0	0
LINC01682	0	0	0	0	0	0	0
LINC01683	0	0	0	0	0	0	0
LINC01684	169	106	169	32	122	17	98
LINC01685	0	0	0	0	0	0	0
LINC01686	0	0	0	0	0	0	83
LINC01687	0	0	0	0	0	0	0
LINC01688	0	0	0	0	0	0	0
LINC01689	0	0	0	0	0	0	0
LINC01690	0	0	0	0	0	0	0
LINC01692	0	1	0	1	0	0	0
LINC01693	0	0	0	0	0	0	0
LINC01694	11	115	11	0	5	0	80
LINC01695	21	84	21	10	0	153	62
LINC01696	0	0	0	0	0	0	0
LINC01697	0	0	0	0	0	0	3
LINC01698	0	0	0	0	0	0	0
LINC01699	0	0	0	0	0	0	0
LINC01700	0	0	0	0	0	0	0
LINC01703	2	0	2	0	0	0	0
LINC01704	0	0	0	0	0	0	0
LINC01706	0	0	0	0	0	0	0
LINC01707	0	0	0	0	0	0	0
LINC01708	0	0	0	0	0	0	0
LINC01710	0	0	0	0	0	0	0
LINC01711	0	0	0	0	0	0	0
LINC01712	0	0	0	0	0	0	0
LINC01713	0	0	0	0	0	0	0
LINC01714	0	0	0	0	0	0	0
LINC01715	0	3	0	0	0	0	0
LINC01716	0	0	0	0	0	0	0
LINC01717	0	0	0	0	0	0	0
LINC01718	0	0	0	0	0	0	0
LINC01719	0	0	0	0	0	0	0
LINC01720	0	0	0	6	0	0	1
LINC01721	0	0	0	0	0	0	0
LINC01722	0	0	0	18	1	0	0
LINC01723	0	0	0	0	0	0	0
LINC01724	0	0	0	0	0	0	0
LINC01725	18	0	18	0	0	0	2
LINC01726	0	2	0	0	0	0	2
LINC01727	0	0	0	1	0	0	0
LINC01728	0	0	0	0	0	0	0
LINC01729	0	0	0	0	0	0	0
LINC01730	0	0	0	0	0	0	39
LINC01732	0	0	0	0	0	0	0
LINC01733	140	0	140	1	0	0	0
LINC01734	0	0	0	0	0	0	0
LINC01736	0	0	0	0	0	0	0
LINC01737	0	0	0	0	0	0	0
LINC01739	0	0	0	0	0	0	0
LINC01740	0	0	0	0	0	0	0
LINC01741	0	0	0	0	0	0	0
LINC01742	0	0	0	0	0	0	0
LINC01743	0	0	0	0	0	0	0
LINC01744	1	0	1	0	0	6	1
LINC01745	0	0	0	0	0	0	0
LINC01747	0	0	0	0	0	0	0
LINC01748	0	0	0	0	0	0	0
LINC01749	0	0	0	0	0	0	0
LINC01750	0	0	0	9	0	0	0
LINC01751	0	0	0	0	0	0	0
LINC01752	0	0	0	0	0	0	0
LINC01753	0	0	0	0	0	0	0
LINC01754	101	1	101	38	26	2	3
LINC01755	0	0	0	0	0	0	0
LINC01756	0	0	0	0	0	0	0
LINC01757	0	0	0	0	0	0	0
LINC01758	0	0	0	0	0	0	0
LINC01759	0	0	0	0	0	0	0
LINC01760	0	0	0	0	0	0	0
LINC01761	0	4	0	194	106	114	107
LINC01762	0	0	0	0	0	0	0
LINC01763	0	0	0	0	0	0	0
LINC01766	0	0	0	0	0	0	0
LINC01767	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0
LINC01771	0	0	0	1	0	0	0
LINC01772	8	68	8	0	1	200	0
LINC01774	0	0	0	0	0	0	0
LINC01775	0	0	0	0	0	0	0
LINC01776	0	14	0	10	64	8	8
LINC01777	0	0	0	0	0	0	0
LINC01778	0	0	0	0	0	0	0
LINC01780	2	0	2	2	0	0	0
LINC01781	0	0	0	0	0	0	0
LINC01782	1	4	1	0	0	0	0
LINC01783	0	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0	0
LINC01785	0	0	0	0	0	0	0
LINC01787	0	0	0	2	0	0	1
LINC01788	0	0	0	0	0	0	0
LINC01790	0	0	0	0	0	0	0
LINC01791	0	0	0	0	0	0	0
LINC01792	0	0	0	0	0	0	0
LINC01793	0	0	0	0	0	0	0
LINC01795	0	28	0	2	0	0	0
LINC01796	0	0	0	0	0	0	0
LINC01797	0	0	0	0	0	0	0
LINC01798	0	0	0	0	0	0	0
LINC01799	0	0	0	0	0	0	0
LINC01800	0	0	0	0	0	0	0
LINC01801	0	0	0	0	0	0	0
LINC01802	0	0	0	0	0	0	0
LINC01803	0	0	0	0	0	0	0
LINC01804	0	0	0	0	0	0	0
LINC01805	0	0	0	0	0	0	0
LINC01806	0	0	0	0	133	0	106
LINC01807	0	0	0	0	0	0	0
LINC01809	0	0	0	0	0	0	0
LINC01810	0	0	0	0	0	0	0
LINC01812	0	0	0	0	0	0	0
LINC01813	0	0	0	0	0	0	0
LINC01814	6	59	6	185	31	240	64
LINC01815	0	0	0	0	0	0	0
LINC01816	0	119	0	0	0	0	0
LINC01817	0	0	0	0	0	0	0
LINC01819	0	0	0	3	0	0	2
LINC01820	0	0	0	0	0	0	0
LINC01821	0	0	0	0	0	0	0
LINC01822	0	0	0	0	0	0	0
LINC01826	0	0	0	0	0	0	0
LINC01828	0	0	0	0	0	0	0
LINC01829	0	0	0	0	0	0	0
LINC01831	0	0	0	0	0	0	0
LINC01832	0	0	0	0	0	0	0
LINC01833	0	0	0	0	0	0	0
LINC01835	0	0	0	0	0	0	0
LINC01838	0	0	0	0	0	0	0
LINC01840	176	131	176	38	77	3	91
LINC01841	0	0	0	0	0	0	0
LINC01842	0	0	0	0	0	0	0
LINC01843	0	2	0	0	0	0	1
LINC01844	0	0	0	0	0	0	0
LINC01845	0	1	0	0	0	0	2
LINC01846	0	0	0	0	0	0	0
LINC01847	0	0	0	0	0	0	0
LINC01848	0	0	0	0	0	0	0
LINC01849	0	0	0	0	0	0	0
LINC01851	0	0	0	0	0	0	0
LINC01852	0	443	0	55	253	435	173
LINC01854	0	0	0	0	0	0	0
LINC01855	0	0	0	0	0	0	0
LINC01856	96	27	96	0	2	2	1
LINC01857	226	117	226	253	197	144	151
LINC01858	6	0	6	11	0	0	68
LINC01859	0	0	0	0	0	0	0
LINC01861	0	0	0	0	0	0	0
LINC01864	0	0	0	0	0	0	1
LINC01865	0	18	0	0	0	0	28
LINC01867	0	0	0	0	0	0	0
LINC01869	0	0	0	0	0	0	0
LINC01872	0	0	0	0	0	0	0
LINC01873	7082	610	7082	598	429	249	518
LINC01874	0	0	0	0	0	0	0
LINC01875	0	0	0	0	0	0	0
LINC01876	0	0	0	0	0	0	0
LINC01877	0	0	0	0	4	0	0
LINC01878	0	0	0	0	0	0	0
LINC01879	10	8	10	0	0	0	0
LINC01880	0	0	0	0	0	0	0
LINC01881	4	62	4	0	77	0	33
LINC01882	0	0	0	0	0	0	0
LINC01883	0	0	0	0	0	0	0
LINC01884	0	0	0	0	0	0	0
LINC01886	0	2	0	0	0	0	1
LINC01887	3	3	3	0	0	1	12
LINC01891	0	0	0	0	0	0	0
LINC01892	0	0	0	0	0	0	0
LINC01893	0	0	0	0	0	0	0
LINC01894	0	0	0	0	0	0	0
LINC01895	0	0	0	0	0	0	0
LINC01898	0	0	0	0	0	0	0
LINC01899	0	0	0	0	0	0	0
LINC01902	105	27	105	66	5	1	11
LINC01903	0	16	0	116	8	2	3
LINC01904	0	0	0	0	0	0	0
LINC01905	0	0	0	0	0	0	0
LINC01907	448	55	448	9	17	229	26
LINC01909	0	86	0	0	0	0	0
LINC01910	4	0	4	1	0	0	0
LINC01913	0	0	0	0	0	0	0
LINC01914	0	0	0	0	0	0	0
LINC01915	0	0	0	0	0	0	0
LINC01917	0	0	0	0	0	0	0
LINC01918	0	0	0	0	0	0	0
LINC01919	0	0	0	0	0	0	0
LINC01920	0	0	0	0	0	0	0
LINC01921	0	0	0	0	0	0	0
LINC01922	2	0	2	0	0	0	0
LINC01923	5	2	5	0	0	2	5
LINC01924	4	0	4	0	0	0	0
LINC01925	0	0	0	0	0	0	0
LINC01926	0	0	0	0	0	0	0
LINC01927	0	0	0	0	0	0	11
LINC01928	0	0	0	0	0	0	0
LINC01929	0	0	0	0	0	0	0
LINC01930	0	0	0	0	0	0	0
LINC01931	0	0	0	0	0	0	0
LINC01932	0	0	0	0	0	0	0
LINC01933	0	0	0	0	0	0	0
LINC01934	0	0	0	0	1	0	0
LINC01935	0	0	0	0	0	0	0
LINC01936	0	0	0	0	0	0	0
LINC01939	0	1	0	0	0	0	0
LINC01940	0	0	0	6	2	0	0
LINC01941	0	0	0	0	0	0	0
LINC01942	0	0	0	0	0	0	0
LINC01944	0	0	0	0	0	0	0
LINC01945	0	0	0	0	0	0	0
LINC01946	0	0	0	0	0	0	0
LINC01947	0	0	0	0	2	0	0
LINC01948	0	0	0	0	0	0	0
LINC01949	52	55	52	222	17	7	66
LINC01950	0	0	0	0	0	0	0
LINC01951	0	3	0	0	0	0	2
LINC01953	0	0	0	0	0	0	0
LINC01954	0	94	0	0	117	0	0
LINC01957	0	0	0	0	0	0	0
LINC01959	0	0	0	0	0	0	0
LINC01960	0	0	0	0	0	0	43
LINC01962	0	0	0	0	0	0	0
LINC01963	321	228	321	931	554	0	408
LINC01964	0	0	0	0	0	0	0
LINC01968	0	0	0	0	0	0	0
LINC01969	0	0	0	0	0	0	0
LINC01970	56	79	56	105	137	73	6
LINC01972	0	1	0	1	6	27	2
LINC01973	31	1	31	0	21	0	0
LINC01975	0	0	0	1	0	2	0
LINC01976	0	0	0	0	0	0	0
LINC01977	0	0	0	0	0	0	0
LINC01978	159	40	159	61	1	18	127
LINC01979	0	0	0	33	0	0	0
LINC01980	0	0	0	0	0	0	0
LINC01981	0	0	0	0	0	0	0
LINC01982	0	0	0	0	0	0	0
LINC01983	0	0	0	0	0	0	0
LINC01985	0	0	0	0	0	0	0
LINC01986	0	0	0	0	0	0	0
LINC01987	0	0	0	0	0	0	0
LINC01988	0	0	0	0	0	0	0
LINC01989	0	0	0	0	0	0	0
LINC01990	0	0	0	0	0	0	0
LINC01991	4	0	4	0	1	0	8
LINC01992	0	0	0	0	0	0	0
LINC01993	412	6	412	1	8	1	2
LINC01994	0	0	0	0	0	0	0
LINC01995	0	0	0	0	0	0	0
LINC01996	6	1	6	0	0	5	9
LINC01999	0	0	0	0	0	0	0
LINC02000	0	0	0	0	0	0	0
LINC02001	4	290	4	119	267	148	452
LINC02003	0	0	0	0	0	0	0
LINC02004	0	0	0	0	0	0	0
LINC02005	0	0	0	0	0	0	0
LINC02006	2	0	2	0	0	0	0
LINC02008	1	33	1	0	1	0	0
LINC02009	0	0	0	0	0	0	0
LINC02010	0	0	0	0	0	0	0
LINC02011	0	0	0	0	0	0	0
LINC02012	27	34	27	86	0	0	64
LINC02014	0	1	0	0	0	0	0
LINC02015	0	0	0	0	0	0	0
LINC02016	145	1	145	42	0	0	21
LINC02017	0	0	0	0	0	0	0
LINC02018	0	0	0	0	0	0	1
LINC02020	0	0	0	0	0	0	0
LINC02021	1	0	1	0	1	0	0
LINC02022	0	0	0	0	0	0	0
LINC02024	0	0	0	0	0	0	0
LINC02025	0	0	0	0	0	0	0
LINC02026	0	0	0	0	0	0	0
LINC02027	0	0	0	0	0	0	0
LINC02028	0	0	0	0	0	0	0
LINC02029	0	0	0	0	0	0	0
LINC02032	0	0	0	0	0	0	0
LINC02033	0	0	0	0	0	0	0
LINC02035	189	233	189	398	532	232	485
LINC02036	0	0	0	0	0	0	0
LINC02037	0	0	0	1	0	1	0
LINC02038	0	0	0	0	0	0	0
LINC02039	0	0	0	0	0	0	0
LINC02041	0	0	0	0	0	0	0
LINC02042	1	1	1	42	0	0	1
LINC02043	600	1241	600	718	669	483	931
LINC02044	0	59	0	0	0	0	0
LINC02046	0	0	0	0	0	0	0
LINC02049	0	0	0	0	0	0	0
LINC02050	0	0	0	0	0	0	0
LINC02052	0	0	0	0	0	0	0
LINC02053	0	0	0	0	0	0	0
LINC02054	0	0	0	0	0	0	0
LINC02055	0	0	0	0	0	0	0
LINC02056	0	0	0	0	0	0	0
LINC02057	0	0	0	0	3	0	0
LINC02059	0	0	0	0	0	0	0
LINC02060	0	0	0	0	10	0	0
LINC02062	0	0	0	0	4	0	0
LINC02064	0	0	0	0	0	0	0
LINC02065	0	0	0	0	0	0	0
LINC02067	0	0	0	0	0	0	0
LINC02068	0	0	0	0	0	0	0
LINC02069	0	0	0	0	1	1	23
LINC02070	0	0	0	0	0	0	0
LINC02071	13	0	13	1	0	1	15
LINC02072	545	172	545	0	2	24	100
LINC02073	4	19	4	77	9	5	51
LINC02075	0	0	0	0	0	0	0
LINC02076	23	4	23	0	0	2	27
LINC02077	0	0	0	0	0	0	0
LINC02078	226	8	226	4	15	0	155
LINC02079	0	0	0	0	0	0	0
LINC02080	400	12	400	51	85	153	84
LINC02081	129	235	129	264	58	291	494
LINC02082	0	0	0	0	0	0	0
LINC02085	0	51	0	0	0	0	2
LINC02087	247	19	247	1	0	0	0
LINC02088	0	0	0	0	0	0	0
LINC02089	0	0	0	0	1	0	0
LINC02090	0	0	0	0	0	0	0
LINC02091	0	0	0	0	0	0	0
LINC02092	0	0	0	0	0	0	0
LINC02093	0	0	0	0	0	0	0
LINC02097	0	0	0	0	0	0	0
LINC02098	0	0	0	0	0	0	0
LINC02099	205	346	205	446	171	12	175
LINC02101	0	0	0	0	0	0	0
LINC02102	0	0	0	0	0	0	0
LINC02103	0	0	0	0	0	0	0
LINC02104	0	0	0	116	3	0	0
LINC02105	0	0	0	0	0	0	0
LINC02106	0	0	0	0	0	0	0
LINC02107	0	0	0	0	0	0	0
LINC02108	121	1	121	0	216	0	2
LINC02109	320	11	320	6	0	9	0
LINC02110	0	0	0	0	0	0	0
LINC02111	0	0	0	0	0	0	0
LINC02112	0	0	0	0	0	0	0
LINC02113	0	0	0	0	0	0	0
LINC02114	0	0	0	0	0	0	0
LINC02115	0	0	0	0	0	0	0
LINC02116	0	0	0	0	0	0	0
LINC02118	0	0	0	0	0	0	0
LINC02119	0	0	0	0	1	0	0
LINC02120	0	0	0	0	0	0	0
LINC02121	0	0	0	0	0	0	0
LINC02123	0	0	0	0	0	0	0
LINC02124	0	0	0	0	0	0	0
LINC02125	0	2	0	0	0	0	0
LINC02126	0	0	0	0	0	0	0
LINC02127	0	0	0	0	0	0	0
LINC02130	0	0	0	0	0	0	0
LINC02133	0	0	0	0	0	0	46
LINC02134	0	0	0	0	0	0	0
LINC02135	0	0	0	0	1	0	0
LINC02136	0	0	0	0	0	0	0
LINC02138	0	0	0	0	0	0	0
LINC02139	32	143	32	178	152	6	135
LINC02140	0	0	0	0	0	0	0
LINC02141	1	0	1	2	0	0	0
LINC02143	0	0	0	0	0	0	0
LINC02145	0	5	0	0	0	0	0
LINC02146	0	0	0	0	0	0	0
LINC02147	0	0	0	0	0	0	0
LINC02148	0	4	0	0	0	0	0
LINC02149	0	0	0	0	0	0	0
LINC02150	0	0	0	0	0	0	3
LINC02153	0	0	0	0	0	0	0
LINC02154	0	0	0	0	0	0	0
LINC02155	0	0	0	0	0	0	0
LINC02156	0	0	0	0	0	0	0
LINC02158	183	174	183	50	0	0	2
LINC02159	0	0	0	0	0	0	0
LINC02160	0	0	0	0	0	0	0
LINC02162	0	0	0	0	0	0	0
LINC02167	0	0	0	0	0	0	0
LINC02168	0	0	0	0	0	0	0
LINC02169	0	0	0	0	0	0	0
LINC02171	0	0	0	0	0	0	0
LINC02172	10	180	10	53	151	171	97
LINC02173	0	0	0	0	0	0	0
LINC02174	0	0	0	0	0	0	0
LINC02175	0	0	0	0	0	0	35
LINC02177	18	4	18	0	5	0	5
LINC02178	0	0	0	0	0	0	0
LINC02180	0	0	0	0	0	0	0
LINC02181	2	0	2	1	4	0	1
LINC02182	0	0	0	0	0	0	0
LINC02185	0	0	0	0	0	0	0
LINC02186	0	0	0	0	0	0	0
LINC02188	0	0	0	0	0	0	0
LINC02189	0	0	0	0	0	0	0
LINC02190	0	0	0	0	0	0	0
LINC02192	0	0	0	0	0	0	0
LINC02197	54	8	54	14	2	3	15
LINC02198	1	2	1	23	0	0	0
LINC02199	0	0	0	0	0	0	0
LINC02200	0	0	0	0	0	0	0
LINC02201	0	0	0	62	0	0	0
LINC02202	153	65	153	0	5	0	113
LINC02203	0	0	0	0	0	0	0
LINC02204	5	0	5	0	1	0	0
LINC02205	0	0	0	0	0	0	0
LINC02206	0	0	0	0	0	0	1
LINC02207	0	0	0	0	0	0	0
LINC02208	0	0	0	0	0	0	0
LINC02209	7	0	7	0	0	0	0
LINC02210	17	63	17	38	431	0	154
LINC02210-CRHR1	0	0	0	0	0	0	0
LINC02211	0	0	0	0	0	0	0
LINC02212	0	0	0	0	0	0	0
LINC02213	0	0	0	0	0	0	0
LINC02214	0	0	0	0	0	0	0
LINC02215	0	0	0	0	0	0	0
LINC02217	0	0	0	0	0	0	0
LINC02218	0	0	0	0	0	0	0
LINC02219	0	0	0	1	0	0	0
LINC02220	0	0	0	0	0	0	0
LINC02221	0	0	0	0	0	0	0
LINC02222	0	0	0	0	0	0	0
LINC02223	0	0	0	0	0	0	0
LINC02224	0	0	0	0	0	0	0
LINC02225	1	0	1	0	0	0	0
LINC02226	0	0	0	0	0	0	0
LINC02227	0	0	0	0	0	0	0
LINC02228	0	0	0	0	0	0	0
LINC02229	0	0	0	0	0	0	0
LINC02230	0	0	0	0	0	0	0
LINC02231	0	0	0	0	0	0	0
LINC02232	0	0	0	0	0	0	0
LINC02233	0	0	0	0	0	0	0
LINC02234	0	0	0	0	0	0	1
LINC02236	0	0	0	0	0	0	0
LINC02237	0	0	0	0	0	0	0
LINC02238	0	0	0	0	0	0	0
LINC02239	0	0	0	0	0	0	0
LINC02240	0	0	0	0	0	0	0
LINC02241	0	0	0	0	0	0	0
LINC02242	4598	0	4598	0	0	0	12
LINC02243	0	0	0	0	0	0	0
LINC02245	180	6	180	4	4	4	49
LINC02246	34	127	34	148	324	11	480
LINC02247	0	0	0	0	0	0	0
LINC02249	0	5	0	0	1	0	4
LINC02251	0	0	0	0	0	0	0
LINC02252	0	0	0	0	0	0	0
LINC02254	1	0	1	0	0	2	0
LINC02255	0	0	0	0	0	0	0
LINC02256	1	57	1	118	4	1	48
LINC02257	6	0	6	0	0	0	0
LINC02258	0	0	0	0	0	0	0
LINC02259	0	2	0	0	0	0	0
LINC02260	0	2	0	0	0	0	0
LINC02261	0	2	0	0	18	84	2
LINC02262	0	0	0	0	0	0	0
LINC02263	0	0	0	0	0	0	0
LINC02264	0	0	0	0	0	0	0
LINC02265	0	0	0	0	0	0	0
LINC02266	0	0	0	0	0	0	0
LINC02267	0	0	0	0	0	0	0
LINC02268	0	0	0	0	1	4	0
LINC02269	0	0	0	0	0	0	0
LINC02270	0	0	0	0	0	0	0
LINC02271	0	0	0	0	0	0	0
LINC02273	0	0	0	0	0	0	0
LINC02274	0	0	0	0	0	0	0
LINC02275	1	1	1	0	0	0	45
LINC02278	9	0	9	6	0	0	2
LINC02280	90	64	90	2	0	4	120
LINC02282	0	0	0	0	0	0	0
LINC02283	0	0	0	0	0	0	0
LINC02285	6	68	6	79	0	0	0
LINC02287	0	0	0	0	0	0	0
LINC02288	28	0	28	2	0	1	0
LINC02289	0	0	0	36	1	0	2
LINC02291	0	0	0	0	0	0	0
LINC02292	0	0	0	0	0	0	0
LINC02293	0	0	0	0	0	0	0
LINC02294	0	0	0	0	0	0	0
LINC02297	0	0	0	0	0	0	0
LINC02298	19	0	19	0	0	0	21
LINC02299	0	0	0	0	0	0	0
LINC02301	0	0	0	0	0	0	0
LINC02302	0	0	0	0	0	0	0
LINC02303	0	0	0	0	0	0	0
LINC02304	0	0	0	0	0	0	0
LINC02308	0	0	0	0	0	0	0
LINC02310	0	0	0	0	0	0	0
LINC02311	0	0	0	0	0	0	0
LINC02312	0	0	0	0	0	0	0
LINC02313	0	0	0	0	0	0	0
LINC02314	0	0	0	0	0	0	0
LINC02315	2	0	2	0	85	225	62
LINC02317	0	0	0	0	0	0	0
LINC02318	0	0	0	0	0	0	0
LINC02322	0	0	0	0	0	0	0
LINC02323	0	0	0	0	0	0	51
LINC02324	0	0	0	2	0	2	15
LINC02325	0	0	0	0	0	0	0
LINC02328	0	0	0	0	0	3	0
LINC02329	0	0	0	0	0	0	0
LINC02330	0	0	0	0	0	0	0
LINC02332	0	0	0	0	0	0	0
LINC02333	0	0	0	0	0	0	0
LINC02337	0	0	0	0	0	0	0
LINC02338	0	0	0	0	0	0	6
LINC02339	0	0	0	0	0	0	0
LINC02341	0	0	0	0	0	0	0
LINC02343	0	0	0	0	0	0	0
LINC02344	0	0	0	0	0	0	0
LINC02345	0	0	0	0	0	0	39
LINC02346	0	0	0	1	0	0	0
LINC02347	0	0	0	0	0	0	0
LINC02348	0	0	0	0	0	0	0
LINC02349	0	0	0	0	0	0	0
LINC02350	0	0	0	0	0	0	0
LINC02351	0	0	0	0	0	0	0
LINC02352	0	35	0	97	1	0	0
LINC02353	0	0	0	0	0	0	0
LINC02355	0	0	0	0	0	0	0
LINC02359	0	0	0	0	0	0	0
LINC02360	0	0	0	0	0	0	0
LINC02361	0	61	0	0	196	0	41
LINC02362	0	0	0	0	0	0	0
LINC02363	0	2	0	0	0	0	0
LINC02364	0	0	0	0	0	0	0
LINC02365	0	0	0	0	0	0	0
LINC02366	0	0	0	0	0	0	0
LINC02367	0	0	0	0	0	0	0
LINC02368	0	0	0	0	0	0	0
LINC02369	0	0	0	0	0	0	0
LINC02370	0	0	0	0	0	0	0
LINC02372	0	0	0	0	0	0	0
LINC02374	0	0	0	0	0	0	0
LINC02375	0	0	0	0	0	0	0
LINC02376	0	0	0	0	0	0	0
LINC02378	0	0	0	0	0	0	0
LINC02380	0	0	0	0	0	0	0
LINC02381	0	0	0	0	0	0	1
LINC02382	0	0	0	0	0	0	0
LINC02383	0	0	0	0	0	0	0
LINC02384	0	0	0	0	0	0	0
LINC02387	0	0	0	0	0	0	0
LINC02388	0	0	0	0	0	0	0
LINC02389	0	0	0	0	0	0	0
LINC02392	0	0	0	0	0	0	0
LINC02393	45	21	45	33	23	8	40
LINC02395	0	0	0	0	0	0	0
LINC02396	0	0	0	0	0	0	0
LINC02397	0	382	0	245	95	330	311
LINC02398	0	0	0	0	0	0	0
LINC02399	0	0	0	0	0	0	0
LINC02400	0	0	0	0	0	0	0
LINC02401	0	0	0	0	0	0	0
LINC02402	0	0	0	0	0	0	0
LINC02403	0	0	0	0	0	0	0
LINC02405	0	0	0	0	0	0	0
LINC02407	0	0	0	5	0	0	0
LINC02408	9	0	9	16	1	0	0
LINC02410	0	0	0	0	0	0	0
LINC02411	0	0	0	0	0	0	0
LINC02412	0	0	0	0	0	0	0
LINC02414	0	0	0	0	0	0	0
LINC02415	0	0	0	0	0	0	0
LINC02417	0	0	0	0	0	0	0
LINC02418	15	0	15	0	0	0	2
LINC02419	0	0	0	0	0	0	0
LINC02420	0	0	0	0	0	0	0
LINC02421	0	0	0	0	71	0	0
LINC02422	0	0	0	0	0	0	0
LINC02423	0	0	0	0	0	0	0
LINC02424	0	0	0	0	0	0	0
LINC02425	0	0	0	0	0	0	0
LINC02426	0	0	0	0	0	0	0
LINC02427	0	0	0	0	0	0	0
LINC02428	0	0	0	0	0	0	0
LINC02429	0	0	0	0	0	0	0
LINC02431	0	0	0	0	0	0	0
LINC02432	0	1	0	0	0	1	0
LINC02433	0	0	0	0	0	0	0
LINC02436	0	0	0	0	0	0	0
LINC02439	0	0	0	0	0	0	0
LINC02441	0	0	0	0	0	0	0
LINC02443	0	0	0	0	0	0	0
LINC02444	0	85	0	1	50	199	19
LINC02446	0	0	0	0	0	0	0
LINC02447	19	0	19	0	5	0	0
LINC02449	0	0	0	0	0	164	0
LINC02450	160	0	160	1	0	0	0
LINC02451	124	0	124	1	0	0	0
LINC02453	24	5	24	96	0	0	82
LINC02454	0	0	0	0	0	0	0
LINC02458	0	0	0	0	0	0	0
LINC02459	0	0	0	0	0	0	0
LINC02461	0	0	0	0	0	0	0
LINC02462	0	0	0	0	0	0	0
LINC02465	0	0	0	0	0	0	0
LINC02466	0	0	0	0	0	0	0
LINC02468	0	0	0	0	0	0	0
LINC02470	0	0	0	0	0	0	0
LINC02471	0	0	0	0	0	0	0
LINC02472	0	0	0	0	0	0	0
LINC02474	0	0	0	0	0	0	0
LINC02475	0	0	0	0	0	0	0
LINC02476	0	0	0	2	3	1	1
LINC02478	0	0	0	0	0	0	0
LINC02479	0	0	0	0	0	0	0
LINC02480	0	0	0	0	0	0	0
LINC02482	183	75	183	0	1	0	0
LINC02483	0	0	0	0	0	0	1
LINC02484	0	0	0	0	0	0	0
LINC02485	0	0	0	0	0	0	0
LINC02487	0	0	0	0	0	0	0
LINC02488	0	0	0	0	0	0	0
LINC02490	0	0	0	0	0	0	0
LINC02492	0	0	0	0	0	0	0
LINC02493	0	0	0	0	0	0	0
LINC02494	0	0	0	0	0	0	0
LINC02495	0	0	0	0	0	0	0
LINC02497	0	0	0	0	0	0	0
LINC02499	0	0	0	0	0	0	0
LINC02500	0	0	0	0	0	0	0
LINC02501	0	0	0	0	51	0	0
LINC02502	0	0	0	0	0	0	0
LINC02505	0	0	0	0	0	0	0
LINC02506	0	0	0	0	0	0	0
LINC02508	0	0	0	0	0	0	0
LINC02509	0	0	0	0	0	0	0
LINC02510	0	0	0	0	0	0	0
LINC02511	0	0	0	0	0	0	0
LINC02513	0	0	0	0	0	0	0
LINC02514	0	0	0	0	0	0	0
LINC02516	0	0	0	0	0	0	0
LINC02517	614	0	614	63	0	0	4
LINC02518	0	0	0	0	0	0	0
LINC02520	0	0	0	0	0	0	0
LINC02521	0	0	0	0	0	0	0
LINC02523	199	48	199	0	36	0	5
LINC02525	0	0	0	0	0	0	0
LINC02526	0	0	0	0	0	0	0
LINC02527	0	0	0	0	0	0	1
LINC02528	0	0	0	0	0	0	0
LINC02529	0	0	0	0	0	0	0
LINC02530	132	73	132	1	0	0	2
LINC02532	0	0	0	0	0	0	0
LINC02533	419	15	419	7	0	0	0
LINC02534	0	0	0	0	0	0	0
